name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bar,bakery,liquor_store,store,meal_takeaway,cafe,meal_delivery,spa,lodging,grocery_or_supermarket,night_club,supermarket,convenience_store
L'Oro Di Napoli,"40 Rue des Bouchers, Strasbourg","Rue des Bouchers,",48.5777758,7.750334499999999,566,4.0,235,940,25.484271449086947,2,5,"(3.9, 4.1]","(184.0, 248.0]","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Schlosserstub,"25 Rue des Serruriers, Strasbourg","Rue des Serruriers,",48.58067810000001,7.7470648,567,4.0,233,932,25.469423684104076,2,5,"(3.9, 4.1]","(184.0, 248.0]","['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Subway,"18 Place de l'esplanade, Strasbourg","Place de l'esplanade,",48.5769444,7.7700604,568,3.9,421,1641,25.444700173759102,1,7,"(3.6, 3.9]","(347.0, 498.8]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Chick And Go,"9 Rue de l'Abreuvoir, Strasbourg","Rue de l'Abreuvoir,",48.5793402,7.760417200000001,569,4.1,123,504,25.37861095690153,2,3,"(3.9, 4.1]","(78.0, 128.2]","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
La Marseillaise,"13 Place Broglie, Strasbourg","Place Broglie,",48.58527249999999,7.750108300000001,570,4.2,69,289,25.36316618109647,3,2,"(4.1, 4.2]","(36.6, 78.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emporio Casella,"13 Boulevard Tauler, Strasbourg","Boulevard Tauler,",48.58961559999999,7.7678729,571,4.2,69,289,25.36316618109647,3,2,"(4.1, 4.2]","(36.6, 78.0]","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Jasmin d'Orient,"7 Rue de Lausanne, Strasbourg","Rue de Lausanne,",48.5766094,7.757681599999999,574,4.4,23,101,25.351602478477414,5,1,"(4.3, 4.4]","(8.8, 36.6]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Le Jardin de l'Orangerie,"Parc de l'Orangerie, Strasbourg","de l'Orangerie,",48.58990149999999,7.775822199999999,576,3.8,730,2774,25.32062686845773,1,8,"(3.6, 3.9]","(498.8, 853.2]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alambar,"15 Rue du Vieux-Marché-aux-Vins, Strasbourg","Rue du Vieux-Marché-aux-Vins,",48.5838688,7.741011600000001,577,3.9,391,1524,25.319489353843878,1,7,"(3.6, 3.9]","(347.0, 498.8]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sichuan,"18 Rue du Fossé-des-Tanneurs, Strasbourg","Rue du Fossé-des-Tanneurs,",48.58340990000001,7.744011,579,4.2,67,281,25.309514171343473,3,2,"(4.1, 4.2]","(36.6, 78.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
