name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bakery,cafe,store,meal_takeaway,bar,liquor_store,grocery_or_supermarket,night_club,meal_delivery,book_store,movie_theater,tourist_attraction,lodging,school,parking,travel_agency,real_estate_agency,general_contractor,supermarket,gas_station,car_wash,convenience_store
Pizza On Time,"4 Avenue de Lyon, Toulouse",Avenue de Lyon,43.61429999999999,1.451364,1699,3.8,112,425,22.227028486146686,1,4,"(3.6, 4.0]","(86.0, 133.5]","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnum,"49 Rue Pargaminières, Toulouse",Rue Pargaminières,43.6043952,1.4386435,1700,4.0,36,144,22.22521000306915,1,2,"(3.6, 4.0]","(22.0, 48.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My burger A La Une - Restaurant de Hamburgers - Place des Carmes,"10 Place des Carmes, Toulouse",Place des Carmes,43.59775380000001,1.4442234,1702,4.0,36,144,22.22521000306915,1,2,"(3.6, 4.0]","(22.0, 48.0]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O CHICKEN CHEESE,"57 Boulevard de Strasbourg, Toulouse",Boulevard de Strasbourg,43.60955489999999,1.4443429,1703,3.8,111,421,22.212227319389296,1,4,"(3.6, 4.0]","(86.0, 133.5]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Cook,"81 Rue Pargaminières, Toulouse",Rue Pargaminières,43.604471,1.4407556,1706,3.6,369,1328,22.201294918172618,0,7,"(0.0, 3.6]","(283.0, 418.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tacos Avenue,"40 Rue de Bayard, Toulouse",Rue de Bayard,43.6103592,1.4505315,1708,3.6,369,1328,22.201294918172618,0,7,"(0.0, 3.6]","(283.0, 418.0]","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Moon Wok,"71 Rue de la Pomme, Toulouse",Rue de la Pomme,43.6037517,1.4444257,1710,3.8,109,414,22.18222069217437,1,4,"(3.6, 4.0]","(86.0, 133.5]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O PETIT NAPLES,"74 Avenue de Lombez, Toulouse",Avenue de Lombez,43.5953753,1.416256,1712,4.1,20,82,22.14422298222232,2,1,"(4.0, 4.1]","(7.0, 22.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamburgeria - Italian StreetFood,"29 Boulevard d'Arcole, Toulouse",Boulevard d'Arcole,43.6112297,1.4392943,1713,3.8,103,391,22.08878145387965,1,4,"(3.6, 4.0]","(86.0, 133.5]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Guinguette des Galeries,"3 Rue du Lieutenant Colonel Pélissier, Toulouse",Rue du Lieutenant Colonel Pélissier,43.6035508,1.4462477,1714,4.0,31,124,21.965446775337092,1,2,"(3.6, 4.0]","(22.0, 48.0]","['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
